# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.23;10.45;34.75;2779.61;1922.57;-857.04;0.00
0.29;11.19;40.33;3226.44;2293.70;-932.74;0.00
0.31;10.30;40.46;3237.09;2349.31;-887.79;0.00
0.26;10.72;45.17;3613.79;2088.76;-1525.03;0.00
0.22;9.57;35.71;2856.78;1815.66;-1041.13;0.00
0.27;10.19;42.01;3360.52;2117.31;-1243.21;0.00
0.25;9.12;43.38;3470.09;1941.99;-1528.10;0.00
0.26;10.12;46.16;3693.06;2057.63;-1635.43;0.00
0.22;9.59;36.12;2889.45;1821.07;-1068.39;0.00
0.24;11.43;43.46;3476.51;2001.76;-1474.75;0.00
0.19;11.61;39.71;3176.89;1726.71;-1450.18;0.00
0.25;11.90;39.03;3122.10;2087.95;-1034.15;0.00
0.27;7.95;41.86;3348.54;2022.20;-1326.34;0.00
0.24;7.76;44.17;3533.57;1793.43;-1740.14;0.00
0.21;9.24;41.56;3324.93;1695.86;-1629.08;0.00
0.24;8.65;42.94;3434.83;1852.57;-1582.26;0.00
0.30;11.23;40.49;3239.47;2326.68;-912.78;0.00
0.21;8.94;33.85;2708.08;1694.84;-1013.24;0.00
0.23;12.14;39.08;3126.22;1995.01;-1131.20;0.00
0.27;10.37;39.95;3195.74;2115.44;-1080.30;0.00
0.32;12.12;47.86;3828.92;2525.83;-1303.09;0.00
0.29;11.09;39.10;3127.96;2295.40;-832.56;0.00
0.32;9.03;37.60;3008.17;2326.56;-681.61;0.00
0.29;11.57;37.59;3007.52;2292.13;-715.40;0.00
0.21;9.30;42.23;3378.64;1700.02;-1678.62;0.00
0.23;11.78;40.02;3201.75;1974.12;-1227.63;0.00
0.26;10.80;41.52;3321.55;2126.04;-1195.51;0.00
0.25;9.51;43.61;3488.93;1971.05;-1517.88;0.00
0.26;10.02;46.75;3739.71;2040.42;-1699.29;0.00
0.30;9.87;44.24;3539.27;2275.53;-1263.74;0.00
0.26;10.31;46.33;3706.65;2051.29;-1655.35;0.00
0.26;9.36;39.80;3184.12;2034.97;-1149.15;0.00
0.25;9.65;39.85;3188.24;1952.99;-1235.25;0.00
0.26;8.17;40.81;3265.13;1936.24;-1328.89;0.00
0.26;10.80;37.01;2960.83;2082.57;-878.26;0.00
0.25;7.69;35.91;2873.03;1894.29;-978.73;0.00
0.24;8.30;34.22;2737.77;1827.10;-910.67;0.00
0.25;9.25;33.65;2691.84;1969.64;-722.21;0.00
0.22;12.20;43.36;3469.03;1950.50;-1518.53;0.00
0.23;11.44;39.60;3168.21;1961.53;-1206.69;0.00
0.26;10.40;37.08;2966.09;2081.96;-884.13;0.00
0.26;10.34;35.94;2875.23;2059.69;-815.54;0.00
0.28;8.73;29.70;2375.92;2078.44;-297.48;0.00
0.24;9.52;30.82;2465.34;1905.86;-559.48;0.00
0.23;8.97;38.46;3076.49;1816.69;-1259.80;0.00
0.30;11.00;36.05;2883.83;2334.04;-549.80;0.00
0.26;10.75;46.11;3689.12;2073.71;-1615.41;0.00
0.23;11.29;43.03;3442.53;1959.61;-1482.92;0.00
0.26;9.91;37.99;3039.47;2055.59;-983.89;0.00
0.29;10.40;37.20;2976.34;2240.06;-736.29;0.00
0.23;10.23;40.66;3252.42;1896.44;-1355.98;0.00
0.28;10.82;39.06;3124.64;2231.86;-892.78;0.00
0.21;9.60;43.40;3472.05;1724.99;-1747.06;0.00
0.24;10.42;35.32;2825.21;1973.82;-851.39;0.00
0.24;9.67;36.87;2949.93;1897.86;-1052.08;0.00
0.25;9.27;41.96;3357.09;1984.87;-1372.22;0.00
0.24;11.08;36.90;2952.39;2008.81;-943.58;0.00
