# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.24;11.76;46.88;3750.74;2022.47;-1728.27;0.00
0.27;9.78;41.66;3332.68;2121.24;-1211.44;0.00
0.26;9.98;36.63;2930.59;2073.68;-856.92;0.00
0.26;10.72;44.32;3545.45;2073.83;-1471.62;0.00
0.29;11.50;42.10;3367.70;2315.84;-1051.85;0.00
0.25;10.91;41.43;3314.77;2071.22;-1243.54;0.00
0.23;10.77;40.78;3262.01;1937.40;-1324.61;0.00
0.25;9.64;41.84;3347.51;1980.69;-1366.83;0.00
0.26;11.13;29.63;2370.23;2129.91;-240.32;0.00
0.20;9.58;44.15;3531.88;1692.21;-1839.67;0.00
0.25;10.45;39.55;3164.09;2018.70;-1145.39;0.00
0.26;10.44;42.58;3406.73;2096.53;-1310.20;0.00
0.24;10.77;37.25;2980.11;2005.53;-974.57;0.00
0.26;10.52;42.50;3400.22;2086.26;-1313.96;0.00
0.23;9.36;34.86;2788.63;1863.13;-925.50;0.00
0.27;8.73;39.76;3180.70;2021.69;-1159.00;0.00
0.28;10.74;38.94;3115.56;2196.01;-919.56;0.00
0.27;10.70;36.46;2917.11;2157.73;-759.38;0.00
0.27;8.34;44.68;3574.53;2022.58;-1551.95;0.00
0.29;8.11;32.93;2634.76;2158.32;-476.44;0.00
0.28;9.84;33.30;2664.05;2150.99;-513.06;0.00
0.21;9.20;42.88;3430.36;1719.79;-1710.57;0.00
0.22;8.58;34.62;2769.44;1721.99;-1047.45;0.00
0.26;10.29;35.62;2849.21;2059.58;-789.63;0.00
0.30;10.04;34.99;2799.21;2293.65;-505.56;0.00
0.25;8.98;36.98;2958.49;1940.39;-1018.10;0.00
0.26;7.72;39.68;3174.19;1962.09;-1212.10;0.00
0.25;7.31;36.56;2925.02;1877.67;-1047.35;0.00
0.28;13.67;33.80;2704.20;2398.02;-306.18;0.00
0.29;9.07;38.72;3097.38;2155.34;-942.04;0.00
0.25;10.27;43.38;3470.78;2012.13;-1458.64;0.00
0.26;10.48;40.85;3267.94;2106.48;-1161.46;0.00
0.25;10.47;35.98;2878.04;2051.17;-826.88;0.00
0.26;8.55;45.32;3625.47;1998.36;-1627.11;0.00
