# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.23;9.66;35.62;2849.63;1886.94;-962.69;0.00
0.24;10.76;43.29;3462.99;1996.21;-1466.78;0.00
0.25;10.61;36.28;2902.44;2031.97;-870.46;0.00
0.24;9.77;49.26;3940.86;1929.75;-2011.11;0.00
0.21;10.49;42.94;3435.24;1812.44;-1622.80;0.00
0.25;8.67;32.96;2637.00;1946.61;-690.40;0.00
0.27;9.28;39.26;3140.47;2097.17;-1043.30;0.00
0.24;10.61;33.25;2659.66;1967.69;-691.96;0.00
0.26;9.30;40.18;3214.37;1999.61;-1214.76;0.00
0.19;9.72;46.91;3753.13;1626.52;-2126.61;0.00
0.23;11.11;39.30;3143.85;1937.21;-1206.65;0.00
0.20;10.01;52.66;4212.90;1718.87;-2494.04;0.00
0.26;11.45;37.55;3003.61;2156.18;-847.43;0.00
0.31;10.04;44.71;3577.00;2336.19;-1240.81;0.00
0.25;11.58;41.30;3303.94;2101.34;-1202.60;0.00
0.20;11.61;41.77;3341.34;1801.08;-1540.27;0.00
0.21;11.11;38.18;3054.38;1836.54;-1217.84;0.00
0.27;9.75;41.20;3295.91;2093.62;-1202.29;0.00
0.31;10.37;50.57;4045.95;2379.13;-1666.82;0.00
0.23;11.00;39.11;3128.66;1944.64;-1184.02;0.00
0.22;10.68;43.04;3443.18;1841.58;-1601.60;0.00
0.20;10.16;40.92;3273.77;1691.72;-1582.05;0.00
0.30;11.05;36.62;2929.73;2333.96;-595.77;0.00
0.24;9.99;39.79;3183.04;1939.57;-1243.47;0.00
0.26;9.06;39.32;3145.82;2015.07;-1130.75;0.00
0.21;7.20;41.95;3355.86;1640.95;-1714.91;0.00
0.27;10.53;34.30;2744.27;2117.58;-626.69;0.00
0.31;10.17;37.46;2996.74;2338.80;-657.94;0.00
0.23;8.83;38.76;3100.81;1816.55;-1284.26;0.00
0.26;10.77;33.96;2716.68;2078.36;-638.33;0.00
0.24;9.37;50.68;4054.04;1877.28;-2176.75;0.00
0.24;11.06;36.48;2918.65;1974.78;-943.87;0.00
0.21;10.67;41.96;3356.47;1812.08;-1544.39;0.00
0.23;11.14;33.57;2685.46;1933.42;-752.04;0.00
0.33;9.91;51.59;4127.20;2486.73;-1640.47;0.00
0.25;12.87;37.75;3020.14;2147.00;-873.14;0.00
0.27;9.12;37.87;3029.49;2087.45;-942.05;0.00
0.23;10.07;41.80;3343.71;1902.50;-1441.22;0.00
0.26;8.87;44.39;3551.10;1984.82;-1566.28;0.00
0.22;10.03;48.35;3867.77;1799.96;-2067.81;0.00
0.26;10.81;40.18;3214.46;2120.87;-1093.59;0.00
0.26;11.47;33.58;2686.34;2140.67;-545.67;0.00
0.29;10.54;35.98;2878.26;2248.23;-630.03;0.00
0.24;12.78;43.92;3513.73;2085.19;-1428.54;0.00
0.25;9.43;42.00;3360.12;1952.98;-1407.14;0.00
0.31;9.18;43.36;3469.19;2293.48;-1175.71;0.00
0.25;10.73;37.35;2987.70;2019.97;-967.74;0.00
0.26;10.53;34.16;2733.08;2063.45;-669.63;0.00
0.25;9.72;37.21;2977.06;1982.96;-994.10;0.00
0.21;10.42;40.43;3234.77;1767.45;-1467.32;0.00
0.22;11.66;40.92;3273.72;1939.99;-1333.72;0.00
0.24;9.29;33.05;2643.79;1912.89;-730.90;0.00
0.27;9.45;40.83;3266.05;2094.15;-1171.90;0.00
0.26;10.14;40.10;3207.99;2040.06;-1167.94;0.00
0.23;8.40;44.81;3584.48;1796.64;-1787.83;0.00
0.24;9.68;43.64;3491.17;1948.40;-1542.77;0.00
0.24;9.62;41.69;3335.00;1923.69;-1411.31;0.00
0.23;11.51;39.98;3198.63;1941.92;-1256.71;0.00
0.25;8.07;35.57;2845.50;1912.06;-933.43;0.00
0.24;9.46;44.57;3565.59;1884.97;-1680.61;0.00
0.30;10.40;45.63;3650.63;2296.42;-1354.21;0.00
0.25;11.01;36.27;2901.80;2032.06;-869.75;0.00
0.26;10.02;38.91;3112.91;2063.50;-1049.40;0.00
0.27;11.13;42.71;3417.06;2194.47;-1222.59;0.00
0.28;9.24;40.08;3206.41;2122.24;-1084.17;0.00
0.22;8.68;47.23;3778.66;1745.15;-2033.51;0.00
0.22;10.71;48.96;3917.02;1834.29;-2082.73;0.00
0.28;10.17;51.31;4104.53;2186.12;-1918.40;0.00
0.30;10.53;32.23;2578.41;2305.48;-272.93;0.00
0.23;11.19;50.02;4001.38;1961.89;-2039.48;0.00
0.25;11.24;55.83;4466.49;2048.79;-2417.70;0.00
0.25;10.61;38.64;3091.43;2045.74;-1045.69;0.00
0.29;10.97;39.48;3158.35;2303.64;-854.71;0.00
0.26;11.17;43.22;3457.47;2126.85;-1330.62;0.00
0.27;10.53;38.20;3056.07;2140.91;-915.16;0.00
0.24;9.03;37.54;3003.34;1860.16;-1143.18;0.00
0.24;10.69;42.77;3421.85;1994.30;-1427.55;0.00
0.25;10.56;41.76;3340.41;2041.39;-1299.02;0.00
0.27;11.11;41.90;3352.19;2158.19;-1194.00;0.00
0.21;10.46;42.76;3421.08;1792.10;-1628.98;0.00
0.24;10.45;41.29;3303.19;1952.06;-1351.13;0.00
0.24;9.83;44.35;3547.60;1937.18;-1610.42;0.00
0.27;10.03;44.11;3528.42;2098.94;-1429.48;0.00
0.29;10.45;49.17;3933.92;2258.69;-1675.23;0.00
0.22;9.19;49.89;3991.30;1798.27;-2193.04;0.00
0.25;10.75;44.78;3582.12;2019.50;-1562.62;0.00
0.28;8.97;40.44;3235.11;2144.46;-1090.65;0.00
0.24;11.83;45.25;3619.95;2029.61;-1590.34;0.00
0.19;9.40;31.40;2511.64;1588.98;-922.66;0.00
0.23;8.55;42.03;3362.21;1784.92;-1577.29;0.00
0.21;11.27;36.52;2921.83;1838.10;-1083.73;0.00
0.26;9.84;41.88;3350.74;2073.69;-1277.05;0.00
0.21;10.72;34.49;2759.41;1800.22;-959.19;0.00
0.27;10.33;48.08;3846.29;2159.74;-1686.55;0.00
0.30;8.76;44.39;3551.00;2231.27;-1319.74;0.00
0.24;8.69;39.46;3157.09;1897.12;-1259.97;0.00
0.28;10.53;35.60;2848.33;2181.45;-666.88;0.00
0.25;9.43;46.17;3693.22;1973.50;-1719.72;0.00
0.28;10.76;39.12;3129.21;2210.79;-918.41;0.00
0.26;10.57;33.87;2709.72;2083.72;-626.00;0.00
0.22;10.25;40.70;3256.01;1860.09;-1395.93;0.00
0.25;11.21;32.60;2607.65;2050.85;-556.80;0.00
0.25;10.18;32.70;2615.92;2008.64;-607.29;0.00
0.23;9.09;45.45;3636.07;1830.85;-1805.22;0.00
0.24;10.60;46.91;3753.12;1944.21;-1808.90;0.00
0.25;10.28;38.47;3077.21;2002.84;-1074.36;0.00
0.22;8.25;43.38;3470.56;1743.44;-1727.12;0.00
0.28;10.21;41.49;3319.33;2160.15;-1159.18;0.00
0.28;8.28;36.37;2909.50;2063.73;-845.77;0.00
0.24;10.69;38.89;3110.99;1979.59;-1131.40;0.00
0.24;9.80;46.05;3683.76;1950.61;-1733.14;0.00
0.29;7.68;40.18;3214.03;2119.58;-1094.45;0.00
0.28;8.59;45.74;3658.90;2080.84;-1578.06;0.00
0.21;10.17;39.24;3139.49;1782.97;-1356.52;0.00
0.26;10.57;37.69;3015.47;2111.14;-904.33;0.00
0.24;10.33;37.43;2994.23;1962.74;-1031.50;0.00
