# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.28;9.28;41.00;3279.99;2141.11;-1138.88;0.00
0.24;11.77;44.22;3537.21;2028.31;-1508.90;0.00
0.23;9.66;45.49;3638.96;1853.06;-1785.90;0.00
0.27;9.70;35.08;2806.17;2119.26;-686.90;0.00
0.20;10.09;36.82;2945.52;1715.06;-1230.46;0.00
0.24;10.89;40.55;3244.10;1961.67;-1282.43;0.00
0.24;11.25;30.65;2451.99;2023.47;-428.51;0.00
0.23;11.40;43.52;3481.28;1929.26;-1552.01;0.00
0.25;8.64;42.91;3432.54;1926.72;-1505.82;0.00
0.22;10.67;34.33;2746.08;1875.64;-870.44;0.00
0.23;9.50;41.69;3335.00;1878.50;-1456.50;0.00
0.25;8.65;36.43;2914.05;1936.24;-977.81;0.00
0.26;9.44;49.77;3981.94;2014.71;-1967.23;0.00
0.23;9.15;33.05;2644.10;1817.85;-826.25;0.00
0.25;11.25;35.62;2849.24;2076.75;-772.49;0.00
0.26;8.71;36.95;2955.68;2003.21;-952.47;0.00
0.21;9.15;41.74;3338.87;1746.43;-1592.43;0.00
0.24;9.14;42.76;3420.91;1878.08;-1542.83;0.00
0.25;10.16;48.53;3882.70;2012.55;-1870.15;0.00
0.23;9.26;39.75;3180.25;1847.19;-1333.07;0.00
0.27;10.60;49.80;3983.97;2123.72;-1860.25;0.00
0.25;11.20;43.21;3456.50;2034.98;-1421.52;0.00
0.27;8.85;35.86;2869.10;2066.75;-802.34;0.00
0.23;12.10;29.29;2343.54;1995.68;-347.87;0.00
0.27;10.02;39.54;3163.15;2141.81;-1021.34;0.00
0.26;12.50;41.14;3290.83;2178.46;-1112.37;0.00
0.23;9.97;33.36;2668.96;1904.40;-764.57;0.00
0.28;9.21;43.15;3452.21;2105.71;-1346.49;0.00
0.24;8.83;44.01;3520.96;1875.53;-1645.42;0.00
0.26;9.46;30.93;2474.45;2008.83;-465.62;0.00
0.28;11.75;39.24;3139.13;2251.70;-887.43;0.00
0.21;9.00;39.74;3179.06;1700.54;-1478.53;0.00
0.21;9.98;41.89;3351.11;1747.79;-1603.32;0.00
0.28;9.43;41.30;3303.79;2126.08;-1177.71;0.00
0.27;10.56;42.45;3395.62;2159.19;-1236.43;0.00
0.20;9.92;47.23;3778.41;1723.39;-2055.02;0.00
0.22;10.10;39.01;3121.13;1848.65;-1272.49;0.00
0.24;11.10;42.72;3417.62;2005.02;-1412.61;0.00
0.26;10.75;33.00;2640.34;2079.78;-560.56;0.00
0.25;8.54;49.16;3932.80;1943.62;-1989.19;0.00
0.27;11.39;41.43;3314.80;2194.69;-1120.11;0.00
0.27;10.22;41.09;3287.54;2142.34;-1145.20;0.00
0.25;9.56;41.11;3289.10;1953.46;-1335.64;0.00
0.27;9.51;43.98;3518.28;2079.35;-1438.94;0.00
0.27;11.78;42.71;3416.93;2212.84;-1204.09;0.00
0.26;11.15;30.91;2473.01;2139.32;-333.69;0.00
0.24;11.81;38.89;3111.48;2036.80;-1074.68;0.00
0.23;11.47;42.33;3386.39;1989.09;-1397.31;0.00
0.23;9.46;39.21;3136.77;1836.41;-1300.36;0.00
0.24;11.23;40.18;3214.18;1994.16;-1220.02;0.00
0.23;9.84;49.22;3937.61;1891.03;-2046.58;0.00
0.27;9.51;40.60;3248.32;2109.29;-1139.03;0.00
0.31;11.33;40.47;3237.94;2438.50;-799.44;0.00
0.24;10.22;35.39;2830.97;1926.16;-904.81;0.00
0.21;10.13;44.84;3587.49;1776.64;-1810.85;0.00
0.23;11.14;42.22;3377.79;1951.23;-1426.56;0.00
0.23;9.07;43.34;3466.95;1845.63;-1621.32;0.00
0.23;10.08;31.20;2496.20;1892.54;-603.66;0.00
0.24;10.58;34.50;2760.08;1991.12;-768.96;0.00
0.24;11.67;45.76;3660.83;2047.77;-1613.06;0.00
0.21;9.72;38.42;3073.45;1727.11;-1346.34;0.00
0.29;10.56;36.32;2905.37;2250.08;-655.29;0.00
0.22;8.28;45.17;3613.87;1739.80;-1874.08;0.00
0.24;10.88;54.24;4338.98;1992.53;-2346.45;0.00
0.23;10.21;31.20;2496.02;1894.65;-601.37;0.00
0.24;10.70;46.07;3685.98;2001.14;-1684.84;0.00
0.28;9.84;44.01;3520.86;2148.86;-1372.00;0.00
0.27;8.85;44.73;3578.25;2076.89;-1501.35;0.00
0.20;9.83;39.00;3119.77;1680.31;-1439.46;0.00
0.24;7.94;47.24;3779.05;1850.23;-1928.82;0.00
0.29;9.07;30.91;2472.71;2160.44;-312.27;0.00
0.23;13.28;40.11;3208.91;2060.30;-1148.60;0.00
0.23;11.47;48.37;3869.77;1944.52;-1925.25;0.00
0.31;10.84;39.84;3187.09;2377.49;-809.60;0.00
0.21;10.10;31.78;2542.25;1780.92;-761.32;0.00
0.20;10.07;46.14;3690.99;1729.22;-1961.76;0.00
0.24;9.48;48.26;3860.56;1901.04;-1959.51;0.00
0.28;10.60;46.48;3718.27;2180.74;-1537.53;0.00
0.25;10.07;33.85;2708.29;2018.55;-689.74;0.00
0.25;11.01;36.98;2958.65;2049.47;-909.17;0.00
0.23;11.29;26.42;2113.69;1959.77;-153.92;0.00
0.25;9.81;33.76;2701.08;2004.88;-696.20;0.00
0.27;10.96;40.21;3216.41;2144.57;-1071.84;0.00
0.25;8.97;35.81;2864.64;1966.65;-897.99;0.00
0.28;10.02;47.61;3809.06;2162.53;-1646.52;0.00
0.23;11.06;41.20;3296.04;1962.89;-1333.15;0.00
0.26;10.87;38.80;3104.33;2112.28;-992.05;0.00
0.20;11.16;35.27;2821.44;1746.12;-1075.32;0.00
0.23;11.25;46.32;3705.76;1959.70;-1746.06;0.00
0.25;9.76;43.62;3489.58;2006.55;-1483.04;0.00
0.27;12.23;45.81;3665.06;2235.32;-1429.74;0.00
0.22;9.68;50.40;4032.37;1778.17;-2254.21;0.00
0.23;10.93;41.30;3304.15;1912.50;-1391.65;0.00
0.28;11.49;37.56;3004.81;2268.08;-736.74;0.00
0.19;9.42;43.75;3499.79;1615.37;-1884.42;0.00
0.26;10.81;50.20;4015.84;2120.54;-1895.30;0.00
0.23;9.63;39.26;3140.53;1858.33;-1282.20;0.00
0.28;9.41;39.66;3172.62;2122.51;-1050.12;0.00
0.22;9.76;41.66;3333.18;1804.77;-1528.41;0.00
0.29;8.28;45.02;3601.37;2138.11;-1463.26;0.00
0.24;10.51;38.79;3102.84;1981.73;-1121.12;0.00
0.22;8.90;37.86;3028.85;1761.01;-1267.84;0.00
0.26;11.29;43.69;3495.38;2110.94;-1384.44;0.00
0.24;8.18;42.65;3412.15;1815.11;-1597.04;0.00
0.25;9.31;38.34;3067.55;1955.09;-1112.46;0.00
0.27;11.70;37.67;3013.26;2230.67;-782.60;0.00
0.26;10.25;35.31;2824.46;2088.98;-735.48;0.00
0.26;9.91;43.50;3479.61;2024.63;-1454.98;0.00
0.27;11.30;37.66;3012.73;2162.92;-849.82;0.00
0.23;11.71;37.90;3031.83;1974.17;-1057.66;0.00
0.26;9.60;44.92;3593.89;2037.64;-1556.25;0.00
0.23;10.41;37.92;3033.63;1896.91;-1136.72;0.00
0.26;9.61;35.05;2804.17;2028.22;-775.95;0.00
0.26;10.18;39.72;3177.94;2092.14;-1085.80;0.00
0.26;9.60;40.26;3221.06;2055.27;-1165.79;0.00
0.26;9.62;36.78;2942.77;2016.41;-926.36;0.00
0.23;9.53;43.21;3457.08;1840.39;-1616.69;0.00
0.24;10.46;40.65;3251.94;1948.50;-1303.44;0.00
0.27;10.25;47.44;3795.10;2124.37;-1670.73;0.00
0.27;11.13;39.42;3153.45;2152.96;-1000.50;0.00
0.29;9.17;34.02;2721.99;2185.90;-536.08;0.00
0.28;9.44;42.76;3420.69;2135.26;-1285.43;0.00
0.22;8.69;34.94;2794.85;1760.08;-1034.77;0.00
0.22;9.25;35.46;2836.94;1778.41;-1058.53;0.00
0.23;9.73;33.17;2653.83;1844.52;-809.31;0.00
0.22;11.46;42.60;3407.71;1907.44;-1500.27;0.00
0.30;12.44;40.76;3260.57;2441.83;-818.74;0.00
0.30;10.45;40.90;3272.38;2302.06;-970.32;0.00
0.29;9.61;43.80;3503.78;2212.29;-1291.49;0.00
0.26;10.21;37.90;3031.67;2071.96;-959.71;0.00
0.25;10.46;43.76;3501.02;2034.90;-1466.12;0.00
0.23;11.43;36.70;2935.71;1954.97;-980.74;0.00
0.21;10.33;42.26;3380.55;1756.32;-1624.24;0.00
0.28;9.17;40.49;3238.86;2104.85;-1134.02;0.00
0.23;10.30;41.86;3348.84;1882.67;-1466.17;0.00
0.27;10.49;41.01;3280.61;2126.38;-1154.23;0.00
0.25;10.40;35.89;2871.00;1995.14;-875.86;0.00
0.27;9.83;41.35;3307.70;2079.39;-1228.30;0.00
0.28;11.02;35.32;2825.23;2237.23;-587.99;0.00
0.28;9.75;42.08;3366.73;2136.92;-1229.81;0.00
0.18;10.19;44.47;3557.20;1593.93;-1963.27;0.00
0.28;10.22;39.50;3160.35;2162.44;-997.91;0.00
0.25;8.32;38.86;3109.00;1899.52;-1209.48;0.00
0.25;12.15;43.98;3518.36;2129.58;-1388.77;0.00
0.26;9.99;30.32;2425.37;2066.15;-359.22;0.00
0.25;10.11;41.42;3313.26;2020.75;-1292.51;0.00
0.24;11.19;43.57;3485.69;2005.08;-1480.61;0.00
0.24;9.32;37.03;2962.08;1894.35;-1067.73;0.00
0.24;9.54;41.06;3284.72;1941.73;-1342.99;0.00
0.22;9.73;39.40;3151.67;1802.52;-1349.15;0.00
0.23;7.88;43.08;3446.24;1781.76;-1664.48;0.00
0.30;9.20;41.14;3291.41;2230.41;-1061.00;0.00
0.22;11.66;45.74;3659.50;1939.70;-1719.80;0.00
0.24;9.87;44.84;3587.36;1926.65;-1660.71;0.00
0.25;10.07;43.17;3453.74;2008.56;-1445.18;0.00
0.25;10.68;37.51;3000.99;2024.74;-976.25;0.00
0.27;9.43;47.26;3781.03;2069.68;-1711.35;0.00
0.27;10.97;43.53;3482.55;2180.89;-1301.66;0.00
0.26;9.85;42.11;3368.75;2065.85;-1302.90;0.00
0.29;9.90;40.67;3253.64;2200.11;-1053.53;0.00
0.26;8.11;39.79;3183.47;1926.23;-1257.24;0.00
0.28;8.96;36.68;2934.34;2117.22;-817.12;0.00
0.25;8.67;39.32;3145.43;1947.77;-1197.66;0.00
0.24;8.79;39.38;3150.05;1852.28;-1297.77;0.00
0.26;9.60;39.36;3149.18;2013.36;-1135.82;0.00
0.25;12.51;47.36;3789.16;2114.09;-1675.07;0.00
0.27;10.43;34.78;2782.76;2121.86;-660.89;0.00
0.23;9.44;44.30;3544.09;1872.74;-1671.35;0.00
0.27;9.50;39.56;3164.69;2060.04;-1104.65;0.00
0.24;9.73;37.19;2974.92;1938.02;-1036.90;0.00
0.31;10.59;43.41;3472.51;2364.45;-1108.06;0.00
0.26;11.35;33.39;2671.35;2122.00;-549.34;0.00
0.23;9.07;41.23;3298.57;1835.28;-1463.28;0.00
0.26;12.43;39.36;3148.65;2170.96;-977.69;0.00
0.26;13.71;42.05;3364.25;2247.52;-1116.72;0.00
0.24;10.45;38.60;3087.86;1989.71;-1098.15;0.00
0.23;9.31;42.35;3388.38;1826.69;-1561.69;0.00
0.26;11.83;36.94;2955.45;2157.41;-798.04;0.00
0.22;11.88;35.79;2863.38;1909.99;-953.39;0.00
0.23;10.78;38.79;3103.12;1943.61;-1159.51;0.00
0.25;10.30;49.92;3993.79;1997.02;-1996.77;0.00
0.24;9.17;42.14;3370.87;1897.90;-1472.98;0.00
0.26;10.20;39.89;3191.39;2090.92;-1100.46;0.00
0.30;10.55;42.73;3418.05;2293.71;-1124.34;0.00
0.32;11.05;35.89;2871.33;2472.55;-398.78;0.00
0.25;11.07;38.82;3105.67;2066.39;-1039.28;0.00
0.23;9.47;38.26;3061.05;1843.06;-1217.99;0.00
0.22;11.31;29.96;2396.83;1878.26;-518.57;0.00
0.21;10.14;43.52;3481.54;1748.79;-1732.76;0.00
0.21;8.80;43.70;3495.84;1718.31;-1777.53;0.00
0.27;10.53;44.92;3593.84;2172.32;-1421.52;0.00
0.26;11.19;41.29;3303.21;2119.54;-1183.67;0.00
0.29;10.92;42.61;3408.49;2270.48;-1138.01;0.00
0.27;10.14;45.61;3648.94;2107.31;-1541.63;0.00
0.28;8.19;43.36;3468.41;2048.40;-1420.01;0.00
0.25;10.28;37.72;3017.93;2000.69;-1017.24;0.00
0.27;12.72;42.37;3389.97;2281.27;-1108.70;0.00
0.27;11.31;41.18;3294.46;2201.16;-1093.30;0.00
0.26;10.76;36.74;2939.54;2075.36;-864.19;0.00
0.26;9.31;37.34;2987.38;2048.34;-939.04;0.00
0.25;11.08;35.07;2805.43;2036.31;-769.12;0.00
0.27;11.35;37.28;2982.15;2215.54;-766.61;0.00
0.25;8.10;42.31;3384.78;1889.22;-1495.56;0.00
0.27;9.45;50.33;4026.65;2067.51;-1959.14;0.00
0.20;9.98;42.28;3382.54;1719.38;-1663.16;0.00
0.25;11.67;38.23;3058.61;2081.39;-977.21;0.00
0.23;11.10;43.28;3462.44;1965.77;-1496.67;0.00
0.30;12.01;37.61;3008.84;2396.09;-612.75;0.00
0.27;11.97;41.78;3342.32;2210.59;-1131.73;0.00
0.22;8.61;38.07;3045.51;1760.58;-1284.94;0.00
0.26;9.46;36.17;2893.41;2017.05;-876.35;0.00
0.31;11.28;43.86;3508.57;2407.57;-1101.00;0.00
0.23;11.08;38.88;3110.16;1935.90;-1174.25;0.00
0.29;8.39;39.65;3171.79;2136.87;-1034.92;0.00
0.20;8.70;31.32;2505.97;1634.73;-871.24;0.00
0.25;10.75;38.25;3059.67;2017.60;-1042.08;0.00
0.24;10.84;42.76;3420.91;1973.84;-1447.07;0.00
0.21;9.86;32.12;2569.23;1732.76;-836.48;0.00
0.25;10.94;47.75;3820.28;2029.88;-1790.40;0.00
0.25;12.18;37.89;3031.52;2127.21;-904.30;0.00
0.30;9.62;41.91;3352.68;2276.31;-1076.37;0.00
0.27;10.32;33.90;2711.81;2157.91;-553.90;0.00
0.25;12.63;48.17;3853.70;2160.53;-1693.17;0.00
0.23;12.30;40.21;3216.70;1997.19;-1219.51;0.00
0.26;8.42;32.87;2629.34;1954.22;-675.11;0.00
0.22;7.88;37.40;2992.20;1714.63;-1277.56;0.00
0.25;9.15;37.87;3029.43;1965.43;-1064.00;0.00
0.22;12.20;35.20;2816.10;1948.72;-867.38;0.00
0.20;10.39;40.36;3228.52;1751.75;-1476.76;0.00
0.26;11.56;33.31;2664.59;2154.62;-509.98;0.00
0.24;7.98;42.62;3409.25;1818.78;-1590.47;0.00
0.26;10.91;38.87;3109.95;2086.80;-1023.14;0.00
0.25;11.51;35.59;2846.96;2067.75;-779.21;0.00
0.24;10.09;36.06;2884.71;1941.46;-943.24;0.00
0.26;9.38;38.56;3084.52;2005.84;-1078.68;0.00
0.23;11.40;37.43;2994.37;1972.86;-1021.51;0.00
0.27;10.03;43.69;3495.39;2121.85;-1373.54;0.00
0.26;10.44;39.73;3178.54;2071.29;-1107.25;0.00
0.26;9.90;40.79;3262.95;2063.71;-1199.24;0.00
0.23;10.56;33.03;2642.43;1901.78;-740.65;0.00
0.24;10.16;39.81;3184.41;1945.01;-1239.40;0.00
0.23;8.48;30.39;2430.90;1801.57;-629.33;0.00
0.24;11.06;37.72;3017.24;2000.53;-1016.71;0.00
