# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.23;9.42;39.05;3123.80;1873.39;-1250.41;0.00
0.32;10.93;48.63;3890.76;2433.71;-1457.05;0.00
0.24;7.56;40.10;3207.84;1800.91;-1406.92;0.00
0.26;11.26;42.74;3419.39;2120.79;-1298.60;0.00
0.26;11.06;35.67;2853.73;2128.68;-725.05;0.00
0.27;9.25;44.63;3570.18;2071.75;-1498.43;0.00
0.27;8.65;43.60;3488.28;2030.31;-1457.97;0.00
0.24;10.30;43.18;3454.56;1974.09;-1480.47;0.00
0.21;10.96;39.20;3136.27;1844.00;-1292.28;0.00
0.23;9.66;40.46;3237.14;1862.61;-1374.53;0.00
0.28;10.74;44.92;3593.45;2232.54;-1360.91;0.00
0.25;11.20;41.60;3327.90;2034.30;-1293.60;0.00
0.26;10.43;42.83;3426.21;2080.24;-1345.97;0.00
0.22;12.06;34.61;2768.97;1961.79;-807.18;0.00
0.26;12.73;39.19;3135.26;2174.75;-960.51;0.00
0.25;11.45;42.10;3367.62;2087.51;-1280.11;0.00
0.28;9.43;39.17;3133.43;2116.16;-1017.27;0.00
0.28;8.49;34.69;2774.86;2072.98;-701.88;0.00
0.25;10.57;45.88;3670.59;2026.76;-1643.82;0.00
0.22;9.81;42.61;3408.48;1835.92;-1572.57;0.00
0.24;11.22;45.00;3599.91;1980.68;-1619.23;0.00
0.24;9.95;36.41;2912.72;1916.08;-996.64;0.00
0.27;10.56;42.64;3411.01;2129.14;-1281.87;0.00
0.23;11.41;44.33;3546.54;1980.55;-1565.99;0.00
0.24;9.42;42.34;3386.96;1928.96;-1457.99;0.00
0.25;9.51;39.15;3132.34;1958.63;-1173.70;0.00
0.27;10.60;39.36;3148.85;2158.48;-990.37;0.00
0.25;10.75;38.26;3060.69;2062.29;-998.41;0.00
0.27;11.11;30.50;2440.11;2195.02;-245.10;0.00
0.24;9.79;36.42;2913.96;1934.12;-979.84;0.00
0.20;9.09;40.29;3223.06;1648.54;-1574.52;0.00
0.23;8.45;42.00;3359.70;1786.71;-1572.99;0.00
0.18;10.85;35.30;2824.32;1629.18;-1195.14;0.00
0.27;11.15;42.18;3374.50;2192.70;-1181.80;0.00
0.30;11.19;48.01;3840.90;2325.75;-1515.15;0.00
0.26;12.12;38.74;3099.50;2164.15;-935.34;0.00
0.21;8.80;41.95;3356.09;1709.08;-1647.01;0.00
0.24;9.48;40.59;3247.27;1935.80;-1311.47;0.00
0.23;8.96;42.84;3427.60;1846.78;-1580.82;0.00
0.25;11.18;44.50;3559.73;2073.20;-1486.53;0.00
0.24;9.79;38.87;3109.34;1905.54;-1203.81;0.00
0.27;9.11;39.89;3191.38;2058.24;-1133.15;0.00
0.24;10.35;39.46;3156.99;1938.93;-1218.05;0.00
0.27;10.11;40.62;3249.37;2110.96;-1138.41;0.00
0.23;8.97;40.17;3213.78;1849.17;-1364.61;0.00
0.26;8.98;40.94;3274.98;1989.91;-1285.08;0.00
0.24;9.55;42.11;3369.13;1887.19;-1481.94;0.00
0.25;11.05;33.09;2647.12;2059.28;-587.84;0.00
0.22;9.22;34.65;2772.34;1783.60;-988.73;0.00
0.23;11.04;32.30;2583.60;1964.85;-618.75;0.00
0.22;9.09;35.07;2805.22;1793.07;-1012.14;0.00
0.24;9.39;44.81;3584.52;1928.43;-1656.09;0.00
0.23;10.01;43.36;3468.90;1871.94;-1596.96;0.00
0.23;10.95;46.48;3718.07;1955.44;-1762.64;0.00
0.24;9.29;34.92;2793.96;1921.87;-872.09;0.00
0.29;9.70;35.94;2875.47;2222.27;-653.20;0.00
0.27;10.45;39.86;3188.42;2139.75;-1048.67;0.00
0.22;9.50;41.87;3349.30;1767.91;-1581.39;0.00
0.28;9.02;37.52;3001.56;2094.73;-906.83;0.00
0.35;9.86;43.83;3506.59;2594.90;-911.69;0.00
0.29;9.59;36.77;2941.96;2197.86;-744.09;0.00
0.26;9.31;34.13;2730.25;2035.65;-694.60;0.00
0.27;12.08;37.45;2996.12;2208.25;-787.87;0.00
0.28;10.69;42.53;3402.76;2221.22;-1181.54;0.00
0.28;9.68;48.78;3902.15;2182.59;-1719.56;0.00
0.27;11.43;37.85;3028.28;2192.58;-835.71;0.00
0.27;10.74;42.69;3414.98;2129.50;-1285.48;0.00
0.24;10.28;33.65;2692.31;1981.81;-710.50;0.00
0.32;9.75;42.14;3371.31;2379.36;-991.95;0.00
0.25;10.71;40.87;3269.30;2056.89;-1212.41;0.00
0.23;9.05;33.21;2656.72;1831.74;-824.98;0.00
0.21;12.71;42.14;3371.37;1923.74;-1447.62;0.00
0.21;10.73;31.31;2504.69;1796.43;-708.27;0.00
0.28;11.32;38.06;3044.91;2260.23;-784.68;0.00
0.22;12.55;37.28;2982.09;1988.79;-993.29;0.00
0.25;7.97;43.84;3507.03;1907.83;-1599.20;0.00
0.27;9.82;40.69;3255.41;2097.51;-1157.90;0.00
0.30;12.00;37.30;2983.87;2410.19;-573.68;0.00
0.20;10.20;43.32;3465.33;1736.88;-1728.45;0.00
0.24;10.00;35.51;2840.86;1954.96;-885.90;0.00
0.20;10.36;42.59;3407.30;1712.91;-1694.40;0.00
0.23;9.80;37.42;2993.95;1891.87;-1102.07;0.00
0.29;8.73;26.12;2089.91;2141.18;51.27;1.00
0.20;10.48;37.52;3001.94;1742.43;-1259.51;0.00
0.22;8.61;35.62;2849.64;1720.51;-1129.13;0.00
0.29;11.40;31.46;2516.45;2301.58;-214.86;0.00
0.27;11.48;38.41;3073.02;2206.95;-866.06;0.00
0.24;8.81;31.68;2534.39;1888.76;-645.63;0.00
0.26;10.08;42.57;3405.31;2033.95;-1371.35;0.00
0.29;9.29;47.67;3813.46;2182.17;-1631.29;0.00
0.32;10.95;42.42;3393.59;2457.32;-936.27;0.00
0.23;9.41;44.14;3531.59;1841.77;-1689.82;0.00
0.25;9.28;35.21;2816.77;1949.27;-867.50;0.00
0.24;9.76;35.61;2848.61;1947.07;-901.54;0.00
0.25;9.22;39.51;3160.45;1943.01;-1217.45;0.00
0.23;9.78;42.12;3369.84;1881.36;-1488.48;0.00
0.28;10.66;35.12;2809.75;2207.70;-602.05;0.00
0.29;10.43;46.06;3684.66;2225.82;-1458.84;0.00
0.20;11.02;45.70;3655.88;1776.74;-1879.13;0.00
0.20;11.35;53.12;4249.75;1758.04;-2491.70;0.00
0.24;10.67;36.11;2889.11;1978.83;-910.28;0.00
0.28;8.98;34.86;2788.92;2111.57;-677.35;0.00
0.26;9.79;40.68;3254.05;2031.32;-1222.73;0.00
0.25;8.79;37.03;2962.40;1939.72;-1022.68;0.00
0.21;8.95;36.27;2901.29;1688.19;-1213.11;0.00
0.28;9.93;35.41;2833.00;2168.02;-664.98;0.00
0.24;9.38;41.46;3316.42;1909.81;-1406.61;0.00
0.22;8.78;39.16;3132.47;1772.50;-1359.97;0.00
0.30;8.98;41.70;3335.63;2207.14;-1128.49;0.00
0.31;10.39;31.11;2489.11;2388.43;-100.69;0.00
0.25;10.40;42.80;3423.77;2033.65;-1390.12;0.00
0.23;10.68;42.19;3375.23;1918.05;-1457.18;0.00
0.24;10.04;33.90;2712.24;1924.41;-787.83;0.00
0.26;11.18;43.97;3517.34;2117.57;-1399.77;0.00
0.27;9.65;43.88;3510.27;2105.89;-1404.39;0.00
0.23;10.69;33.31;2664.78;1942.26;-722.52;0.00
0.25;8.48;43.19;3455.37;1910.80;-1544.57;0.00
0.28;12.19;37.11;2969.19;2316.68;-652.51;0.00
0.29;11.07;44.28;3542.25;2278.53;-1263.72;0.00
0.27;11.81;34.41;2752.50;2205.93;-546.57;0.00
0.22;9.78;39.34;3147.56;1784.58;-1362.99;0.00
0.27;8.24;42.70;3415.95;2029.66;-1386.30;0.00
0.20;8.76;40.26;3220.95;1651.96;-1568.99;0.00
0.25;11.48;48.88;3910.00;2070.96;-1839.04;0.00
0.25;8.70;31.13;2490.28;1929.89;-560.38;0.00
0.23;10.63;42.09;3366.88;1914.81;-1452.07;0.00
0.28;9.72;41.16;3292.74;2150.92;-1141.81;0.00
0.25;10.56;41.62;3329.65;2007.66;-1321.98;0.00
0.24;10.45;54.56;4364.87;1967.94;-2396.93;0.00
0.25;10.32;40.36;3228.96;2002.32;-1226.64;0.00
