# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.28;11.20;47.56;3804.70;2245.20;-1559.50;0.00
0.25;9.39;40.69;3255.57;1962.59;-1292.98;0.00
0.24;11.25;47.34;3787.15;2006.15;-1781.00;0.00
0.27;9.30;39.64;3171.30;2059.26;-1112.04;0.00
0.25;9.78;42.99;3438.85;1977.86;-1460.99;0.00
0.25;10.39;35.90;2872.00;2034.13;-837.87;0.00
0.22;9.79;37.46;2996.41;1791.73;-1204.68;0.00
0.28;10.09;39.87;3189.49;2178.43;-1011.06;0.00
0.27;9.94;43.89;3511.00;2092.00;-1419.00;0.00
0.26;9.76;33.63;2690.47;2015.99;-674.48;0.00
0.22;10.26;40.35;3228.05;1853.56;-1374.49;0.00
0.23;10.50;43.80;3503.89;1880.96;-1622.93;0.00
0.24;11.31;41.68;3334.67;1998.60;-1336.07;0.00
0.26;11.00;38.38;3070.02;2086.40;-983.62;0.00
0.26;11.65;40.93;3274.43;2131.61;-1142.82;0.00
0.24;11.35;34.93;2794.63;2018.06;-776.57;0.00
0.26;9.83;43.06;3444.61;2049.07;-1395.55;0.00
0.21;9.80;44.53;3562.41;1778.54;-1783.87;0.00
0.21;9.32;36.02;2881.44;1715.20;-1166.23;0.00
0.27;11.28;41.65;3332.30;2155.08;-1177.22;0.00
0.25;10.62;42.41;3392.61;2040.57;-1352.04;0.00
0.24;8.36;43.80;3503.75;1872.98;-1630.77;0.00
0.28;10.14;44.01;3520.95;2155.39;-1365.56;0.00
0.24;9.25;34.33;2746.02;1895.85;-850.17;0.00
0.26;11.47;37.34;2986.92;2130.19;-856.73;0.00
0.25;10.24;37.84;3027.17;1983.73;-1043.43;0.00
0.24;10.85;43.48;3478.19;1981.40;-1496.79;0.00
0.27;11.37;41.75;3339.78;2190.21;-1149.57;0.00
0.29;12.21;34.74;2779.43;2341.26;-438.18;0.00
0.26;9.17;41.16;3292.74;2036.70;-1256.04;0.00
0.29;9.29;43.98;3518.47;2173.74;-1344.74;0.00
0.25;9.56;40.04;3202.82;1973.47;-1229.35;0.00
0.28;9.91;37.32;2985.55;2152.33;-833.23;0.00
0.24;10.50;38.96;3116.99;1972.40;-1144.59;0.00
0.30;10.46;42.25;3379.60;2292.15;-1087.45;0.00
0.21;10.18;45.12;3609.33;1751.32;-1858.02;0.00
0.27;10.78;41.79;3343.58;2156.75;-1186.83;0.00
0.27;8.54;35.24;2818.81;2017.78;-801.03;0.00
0.25;9.39;37.75;3020.27;1947.67;-1072.60;0.00
0.22;9.40;42.44;3395.23;1795.43;-1599.80;0.00
0.20;9.41;34.59;2767.41;1700.86;-1066.54;0.00
0.25;10.08;40.73;3258.62;2015.01;-1243.60;0.00
0.30;9.87;48.56;3884.97;2275.64;-1609.33;0.00
0.26;9.47;37.08;2966.25;2012.28;-953.96;0.00
0.25;10.96;37.18;2974.37;2038.98;-935.39;0.00
0.29;9.68;31.38;2510.62;2206.67;-303.94;0.00
0.25;10.45;35.26;2820.88;2014.77;-806.11;0.00
0.27;11.85;39.57;3165.48;2239.33;-926.15;0.00
0.26;10.57;34.94;2795.35;2079.12;-716.23;0.00
0.29;12.35;43.39;3471.30;2374.48;-1096.82;0.00
0.25;11.22;46.07;3685.41;2066.53;-1618.88;0.00
0.21;11.39;42.83;3426.36;1868.36;-1558.00;0.00
0.23;10.80;38.56;3084.71;1930.77;-1153.95;0.00
0.29;9.24;41.65;3331.73;2199.01;-1132.73;0.00
0.27;10.24;43.96;3516.83;2105.82;-1411.01;0.00
0.26;9.84;39.89;3191.04;2073.02;-1118.03;0.00
0.24;9.27;42.68;3414.23;1892.40;-1521.83;0.00
0.23;9.27;35.84;2867.32;1837.17;-1030.16;0.00
0.26;8.89;53.12;4249.64;1976.16;-2273.48;0.00
0.29;11.57;43.67;3493.64;2299.26;-1194.37;0.00
0.26;9.65;42.12;3369.38;2015.18;-1354.20;0.00
0.25;8.95;42.76;3420.42;1965.98;-1454.45;0.00
0.27;8.87;43.30;3464.29;2030.66;-1433.62;0.00
0.28;10.65;37.95;3036.19;2211.85;-824.34;0.00
0.25;8.89;45.25;3620.01;1930.93;-1689.08;0.00
0.24;10.44;35.53;2842.06;1979.83;-862.23;0.00
0.26;7.98;41.73;3338.67;1959.38;-1379.29;0.00
0.27;12.00;45.45;3636.04;2215.04;-1420.99;0.00
0.24;8.97;38.47;3077.30;1864.45;-1212.85;0.00
0.19;9.37;42.52;3401.41;1637.68;-1763.73;0.00
0.25;11.44;50.96;4077.09;2073.24;-2003.84;0.00
0.23;10.52;46.05;3684.09;1919.13;-1764.97;0.00
0.24;9.24;36.22;2897.32;1913.90;-983.42;0.00
0.24;11.33;33.60;2687.64;2002.83;-684.81;0.00
0.24;9.63;43.49;3479.08;1924.00;-1555.08;0.00
0.24;10.41;41.07;3285.32;1981.99;-1303.33;0.00
0.24;11.23;39.20;3136.30;2023.57;-1112.73;0.00
0.28;9.84;43.65;3491.63;2137.94;-1353.69;0.00
0.27;10.73;40.84;3266.90;2137.99;-1128.90;0.00
0.27;11.18;41.41;3312.74;2183.27;-1129.47;0.00
0.23;9.40;44.68;3574.52;1849.87;-1724.65;0.00
0.26;11.15;29.55;2363.66;2131.72;-231.93;0.00
0.24;9.43;36.93;2954.58;1906.47;-1048.12;0.00
0.26;10.15;33.50;2679.71;2084.15;-595.56;0.00
0.24;10.98;44.29;3543.07;2014.06;-1529.01;0.00
0.24;9.58;43.39;3470.84;1926.88;-1543.97;0.00
0.24;10.79;36.24;2899.11;1986.13;-912.98;0.00
0.23;9.21;39.90;3191.98;1857.12;-1334.87;0.00
0.24;10.16;42.54;3403.48;1945.06;-1458.43;0.00
0.24;10.22;41.27;3301.88;1960.44;-1341.44;0.00
0.25;9.85;42.75;3419.90;1970.29;-1449.61;0.00
0.27;10.17;36.38;2910.20;2119.20;-791.00;0.00
0.24;10.65;40.72;3257.53;1985.83;-1271.71;0.00
0.22;10.07;44.02;3521.96;1834.70;-1687.26;0.00
0.25;10.68;35.03;2802.58;2024.39;-778.19;0.00
0.27;11.75;32.04;2563.54;2182.65;-380.89;0.00
