# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.24;8.91;36.75;2939.65;1861.01;-1078.64;0.00
0.24;8.85;32.74;2618.86;1881.43;-737.43;0.00
0.25;8.50;40.25;3219.74;1925.77;-1293.97;0.00
0.27;9.54;38.24;3059.42;2102.74;-956.68;0.00
0.27;8.86;36.96;2956.80;2072.95;-883.85;0.00
0.30;9.45;48.73;3898.25;2234.97;-1663.28;0.00
0.27;11.12;42.40;3391.76;2189.45;-1202.31;0.00
0.25;9.53;42.41;3392.99;1951.46;-1441.52;0.00
0.25;10.15;43.69;3495.56;2023.07;-1472.50;0.00
0.23;10.01;39.80;3183.88;1886.10;-1297.79;0.00
0.23;10.18;41.49;3319.40;1863.71;-1455.69;0.00
0.25;11.91;40.94;3275.23;2100.74;-1174.49;0.00
0.25;9.80;35.70;2856.35;1972.13;-884.21;0.00
0.25;11.23;39.37;3149.56;2044.51;-1105.05;0.00
0.24;11.49;37.67;3013.80;2030.70;-983.09;0.00
0.27;11.79;44.01;3520.92;2237.73;-1283.18;0.00
0.25;10.25;38.36;3068.63;1999.90;-1068.72;0.00
0.25;11.19;42.53;3402.34;2061.80;-1340.54;0.00
0.20;8.51;46.78;3742.75;1641.34;-2101.42;0.00
0.25;11.01;39.94;3195.40;2079.66;-1115.74;0.00
0.26;11.22;37.23;2978.67;2127.38;-851.28;0.00
0.26;10.06;37.32;2985.36;2044.70;-940.66;0.00
0.26;10.03;34.85;2788.26;2031.73;-756.53;0.00
0.23;10.00;47.29;3783.30;1862.82;-1920.47;0.00
0.27;10.44;43.14;3451.37;2117.45;-1333.93;0.00
0.26;7.82;33.19;2655.25;1962.80;-692.45;0.00
0.23;9.68;34.45;2755.65;1874.91;-880.74;0.00
0.29;10.89;36.01;2880.74;2263.38;-617.36;0.00
0.26;10.42;37.46;2997.06;2083.83;-913.23;0.00
0.30;12.12;35.56;2845.05;2423.77;-421.28;0.00
0.25;10.37;41.09;3287.03;2039.03;-1248.00;0.00
0.25;10.81;36.24;2898.92;2052.80;-846.13;0.00
0.21;9.02;47.41;3792.40;1739.45;-2052.95;0.00
0.23;9.87;41.10;3288.38;1903.17;-1385.21;0.00
0.25;9.05;38.13;3050.00;1972.67;-1077.33;0.00
0.25;10.59;38.30;3064.22;2022.95;-1041.27;0.00
0.26;10.04;42.80;3423.98;2044.12;-1379.86;0.00
0.27;11.74;42.19;3375.14;2184.87;-1190.27;0.00
0.27;10.07;47.36;3789.04;2140.52;-1648.53;0.00
0.27;10.43;43.69;3495.41;2119.31;-1376.09;0.00
0.18;9.97;41.07;3285.97;1610.99;-1674.98;0.00
0.24;10.58;37.90;3032.16;1962.43;-1069.72;0.00
0.26;9.04;37.08;2966.64;2015.87;-950.77;0.00
0.25;9.81;36.15;2891.81;1979.50;-912.31;0.00
0.30;10.05;40.22;3217.30;2270.22;-947.09;0.00
0.23;10.19;38.88;3110.70;1867.44;-1243.27;0.00
0.23;8.21;41.59;3327.10;1774.35;-1552.75;0.00
0.25;10.21;31.14;2491.29;2038.46;-452.83;0.00
0.31;10.52;38.25;3060.37;2358.58;-701.78;0.00
0.27;10.87;50.56;4045.19;2171.22;-1873.97;0.00
0.24;11.78;37.70;3016.13;2042.03;-974.09;0.00
0.19;11.90;41.95;3355.79;1765.04;-1590.75;0.00
0.23;10.57;40.61;3248.96;1902.03;-1346.94;0.00
0.25;8.33;44.20;3536.35;1904.74;-1631.61;0.00
0.26;10.46;33.87;2709.87;2101.55;-608.32;0.00
0.17;10.14;36.86;2948.67;1517.13;-1431.54;0.00
0.25;10.54;43.21;3456.44;1999.23;-1457.21;0.00
0.25;10.86;38.87;3109.23;2066.52;-1042.71;0.00
0.23;9.38;44.17;3533.69;1834.08;-1699.60;0.00
0.24;8.83;40.79;3263.50;1881.36;-1382.13;0.00
0.22;9.92;38.39;3070.85;1795.66;-1275.18;0.00
0.27;10.18;37.82;3025.86;2096.14;-929.71;0.00
0.21;11.71;39.47;3157.73;1828.37;-1329.35;0.00
0.23;9.58;41.53;3322.06;1848.78;-1473.27;0.00
0.24;10.01;40.81;3265.07;1929.99;-1335.08;0.00
0.23;10.42;31.05;2484.24;1913.86;-570.38;0.00
0.26;9.95;41.81;3345.18;2077.76;-1267.42;0.00
0.26;11.17;41.56;3324.73;2131.72;-1193.01;0.00
0.22;8.30;47.17;3773.64;1724.57;-2049.07;0.00
0.24;10.14;40.37;3229.46;1932.93;-1296.53;0.00
0.21;10.82;39.80;3184.03;1816.05;-1367.99;0.00
0.28;13.09;41.35;3307.67;2358.95;-948.71;0.00
0.25;10.42;41.85;3347.64;2037.66;-1309.98;0.00
0.27;10.38;41.38;3310.55;2110.48;-1200.07;0.00
0.26;9.06;38.08;3046.29;2004.82;-1041.47;0.00
0.25;8.95;41.01;3280.72;1951.67;-1329.05;0.00
0.28;9.80;39.17;3133.36;2166.30;-967.06;0.00
0.27;10.86;39.93;3194.76;2150.07;-1044.70;0.00
0.25;11.95;41.38;3310.71;2125.88;-1184.83;0.00
0.22;10.66;44.99;3599.36;1870.84;-1728.52;0.00
0.26;11.00;45.55;3643.74;2091.78;-1551.96;0.00
0.28;10.76;36.61;2928.90;2185.72;-743.19;0.00
0.22;11.16;35.04;2802.86;1902.68;-900.18;0.00
0.28;9.50;50.88;4070.66;2147.81;-1922.85;0.00
0.28;10.72;46.77;3741.92;2198.90;-1543.02;0.00
0.27;11.07;40.99;3279.20;2146.84;-1132.37;0.00
0.29;9.27;43.10;3448.28;2171.50;-1276.78;0.00
