# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.25;8.29;43.37;3469.54;1917.62;-1551.92;0.00
0.22;9.75;43.33;3466.26;1823.61;-1642.65;0.00
0.26;9.53;44.99;3599.33;2054.41;-1544.92;0.00
0.24;11.13;37.86;3028.91;2002.20;-1026.71;0.00
0.22;10.23;39.93;3194.43;1807.56;-1386.87;0.00
0.28;8.95;45.96;3676.93;2101.29;-1575.63;0.00
0.23;11.24;42.34;3387.23;1972.06;-1415.17;0.00
0.27;12.35;34.74;2778.80;2224.37;-554.43;0.00
0.25;10.14;42.12;3369.54;1981.73;-1387.81;0.00
0.25;11.48;44.13;3530.12;2067.38;-1462.74;0.00
0.21;10.21;45.35;3627.97;1791.41;-1836.56;0.00
0.28;12.88;40.80;3264.10;2348.28;-915.82;0.00
0.27;8.98;45.95;3676.17;2068.32;-1607.85;0.00
0.25;10.32;33.58;2686.68;1994.26;-692.42;0.00
0.22;8.58;52.03;4162.67;1769.67;-2393.00;0.00
0.25;9.35;44.37;3549.24;1972.82;-1576.41;0.00
0.29;12.22;46.67;3733.44;2354.10;-1379.34;0.00
0.25;9.59;31.20;2495.80;1972.60;-523.19;0.00
0.28;7.95;44.39;3551.00;2052.24;-1498.76;0.00
0.24;8.60;40.36;3228.75;1877.58;-1351.17;0.00
0.25;9.34;41.45;3315.76;1978.82;-1336.95;0.00
0.26;10.42;38.47;3077.83;2090.19;-987.64;0.00
0.24;8.00;39.77;3181.61;1811.11;-1370.50;0.00
0.21;11.00;37.49;2999.29;1840.32;-1158.97;0.00
0.27;11.42;38.56;3084.50;2211.91;-872.59;0.00
0.26;9.91;36.67;2933.97;2076.40;-857.57;0.00
0.27;10.03;43.89;3510.93;2127.71;-1383.22;0.00
0.25;11.75;35.90;2872.14;2111.67;-760.48;0.00
0.26;7.68;43.61;3488.41;1938.46;-1549.95;0.00
0.22;11.08;40.59;3246.86;1908.60;-1338.26;0.00
0.24;10.47;36.64;2931.36;1978.08;-953.28;0.00
0.22;10.58;37.11;2968.75;1855.93;-1112.83;0.00
0.27;10.86;32.30;2583.76;2156.19;-427.57;0.00
0.24;10.85;41.60;3327.63;2010.29;-1317.34;0.00
0.27;10.03;29.44;2354.86;2088.85;-266.01;0.00
0.26;11.98;33.16;2652.61;2151.67;-500.95;0.00
0.24;10.79;48.28;3862.51;1975.48;-1887.03;0.00
0.30;9.21;41.94;3355.43;2228.91;-1126.53;0.00
0.20;12.41;39.94;3195.33;1841.34;-1353.99;0.00
0.24;13.00;36.90;2952.00;2102.40;-849.60;0.00
0.24;7.70;40.28;3222.33;1799.69;-1422.63;0.00
0.24;8.95;38.78;3102.58;1885.47;-1217.11;0.00
0.24;9.94;45.08;3606.26;1914.70;-1691.56;0.00
0.26;7.28;36.51;2920.74;1923.72;-997.02;0.00
0.24;10.36;34.12;2729.76;1931.69;-798.07;0.00
